"Am" "Ao" "As" "Be" "Cb" "Cj" "Dc" "Dg" "Fr" "Ga" "Hl" "Hp" "Hs" "Lp" "Pg" "Pm" "Pt" "Ra" "Sp" "To" "Block" "Plot_Nr"
"166" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 166
"167" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 167
"168" 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 2 168
"169" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 169
"170" 1 1 1 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 3 170
"171" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 171
"172" 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 3 172
"173" 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 3 173
"174" 1 1 0 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 3 174
"175" 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 3 175
"176" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 176
"177" 0 0 1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 0 0 1 3 177
"178" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 178
"179" 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 3 179
"180" 1 1 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 3 180
"181" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 3 181
"182" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 182
"183" 0 0 1 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 3 183
"184" 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 3 184
"185" 0 0 1 0 0 0 1 0 0 0 1 1 1 0 1 1 0 0 0 1 3 185
"186" 0 1 0 1 0 1 1 0 1 0 0 1 0 0 1 1 0 0 0 0 3 186
"187" 0 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 3 187
"188" 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 3 188
"189" 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 1 0 1 1 3 189
"190" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 190
"191" 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 3 191
"192" 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 0 1 3 192
"193" 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 3 193
"194" 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 3 194
"195" 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 3 195
"196" 0 0 1 0 0 0 0 1 0 1 1 0 1 1 0 0 1 0 0 1 3 196
"197" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 197
"198" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 198
"199" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 199
